workerid,rt,content,trigger,short_trigger,question_type,trigger_class,response,block,age,trial
2,4864,hat,MC6,MC,ai,NonProj,0.0600000000000001,block1,35,1
2,7770,pool,revealed,revealed,ai,C,0.85,block1,35,2
2,4115,ditch,is_annoyed,is_annoyed,ai,C,0.86,block1,35,3
2,6311,garage,realize,realize,ai,C,0.95,block1,35,4
2,6233,poodle,MC7,MC,ai,NonProj,0.03,block1,35,5
2,4792,poem,noticed,noticed,ai,C,0.94,block1,35,6
2,2896,cupcakes,MC3,MC,ai,NonProj,0.13,block1,35,7
2,3644,dancing,is_aware,is_aware,ai,C,0.98,block1,35,8
2,3362,nails,MC2,MC,ai,NonProj,0.08,block1,35,9
2,5923,yoga,found_out,found_out,ai,C,0.95,block1,35,10
2,4635,zoo,saw,saw,ai,C,0.95,block1,35,11
2,5202,tea,discovered,discovered,ai,C,0.94,block1,35,12
2,2994,picture,MC1,MC,ai,NonProj,0.07,block1,35,13
2,4087,swing,confessed,confessed,ai,C,0.92,block1,35,14
2,2830,frisbee,learned,learned,ai,C,0.93,block1,35,15
2,2638,damp,is_amused,is_amused,ai,C,0.95,block1,35,16
2,2865,purple,MC4,MC,ai,NonProj,0.05,block1,35,17
2,3293,chili,MC5,MC,ai,NonProj,0.07,block1,35,18
2,2300,bmw,established,established,ai,C,0.94,block1,35,19
2,3319,horse,MC8,MC,ai,NonProj,0.07,block1,35,20
2,3728,nails,MC2,MC,projective,NonProj,0.08,block2,35,21
2,3239,horse,MC8,MC,projective,NonProj,0.08,block2,35,22
2,4407,bmw,established,established,projective,C,0.74,block2,35,23
2,3450,garage,realize,realize,projective,C,0.75,block2,35,24
2,2568,poodle,MC7,MC,projective,NonProj,0.05,block2,35,25
2,4466,swing,confessed,confessed,projective,C,0.73,block2,35,26
2,3383,tea,discovered,discovered,projective,C,0.82,block2,35,27
2,4431,ditch,is_annoyed,is_annoyed,projective,C,0.86,block2,35,28
2,2393,chili,MC5,MC,projective,NonProj,0.04,block2,35,29
2,8819,damp,is_amused,is_amused,projective,C,0.11,block2,35,30
2,4382,cupcakes,MC3,MC,projective,NonProj,0.11,block2,35,31
2,4158,zoo,saw,saw,projective,C,0.86,block2,35,32
2,11693,yoga,found_out,found_out,projective,C,0.8,block2,35,33
2,6134,poem,noticed,noticed,projective,C,0.81,block2,35,34
2,2937,picture,MC1,MC,projective,NonProj,0.1,block2,35,35
2,5280,hat,MC6,MC,projective,NonProj,0.12,block2,35,36
2,4277,frisbee,learned,learned,projective,C,0.81,block2,35,37
2,3031,purple,MC4,MC,projective,NonProj,0.12,block2,35,38
2,6382,pool,revealed,revealed,projective,C,0.87,block2,35,39
2,6514,dancing,is_aware,is_aware,projective,C,0.79,block2,35,40
3,6228,swing,found_out,found_out,projective,C,0.83,block1,25,1
3,3291,chili,MC3,MC,projective,NonProj,0.14,block1,25,2
3,4357,poodle,revealed,revealed,projective,C,0.83,block1,25,3
3,3460,nails,MC5,MC,projective,NonProj,0.02,block1,25,4
