workerid,rt,content,trigger,short_trigger,trigger_class,response,block,slide_number_in_experiment,age,trial
2,11839,boyfriend,NRRC,NRRC,B,0.95,block1,3,33,1
2,10256,kids,only,only,C,0.2,block1,4,33,2
2,9555,soccer,MC1,MC,NonProj,0.02,block1,5,33,3
2,3962,veggie,MC6,MC,NonProj,0.04,block1,6,33,4
2,7044,pizza,MC5,MC,NonProj,0.08,block1,7,33,5
2,9420,hat,know,know,C,0.81,block1,8,33,6
2,8017,aunt,MC2,MC,NonProj,0.17,block1,9,33,7
2,7488,muffins,MC3,MC,NonProj,0.08,block1,10,33,8
2,7288,nails,stop,stop,C,0.91,block1,11,33,9
2,7328,cupcakes,MC4,MC,NonProj,0.1,block1,12,33,10
2,6275,play,discover,discover,C,0.82,block1,13,33,11
2,4539,olives,annoyed,annoyed,C,0.87,block1,14,33,12
2,5558,stuntman,NomApp,NomApp,B,0.84,block1,15,33,13
2,4836,cheat,stupid,stupid,C,0.83,block1,16,33,14
2,8850,bmw,possNP,possNP,B,0.91,block1,17,33,15
3,6857,cheat,MC2,MC,NonProj,0,block1,3,35,1
3,5068,bmw,NomApp,NomApp,B,0.97,block1,4,35,2
3,5671,olives,MC6,MC,NonProj,0.02,block1,5,35,3
3,3960,boyfriend,NRRC,NRRC,B,0.98,block1,6,35,4
3,16544,cupcakes,MC5,MC,NonProj,0,block1,7,35,5
3,84019,kids,only,only,C,0,block1,8,35,6
3,2643,stuntman,stupid,stupid,C,0,block1,9,35,7
3,8624,aunt,possNP,possNP,B,0.96,block1,10,35,8
3,2983,veggie,MC3,MC,NonProj,0.11,block1,11,35,9
3,4694,play,stop,stop,C,0.99,block1,12,35,10
3,4796,pizza,annoyed,annoyed,C,0.94,block1,13,35,11
3,6904,nails,discover,discover,C,0.32,block1,14,35,12
3,1790,muffins,MC1,MC,NonProj,0.49,block1,15,35,13
3,3124,alcatraz,MC4,MC,NonProj,0.09,block1,16,35,14
3,4200,soccer,know,know,C,0.91,block1,17,35,15
4,10784,olives,MC4,MC,NonProj,0.02,block1,3,23,1
4,11087,play,discover,discover,C,0.98,block1,4,23,2
4,3781,boyfriend,MC3,MC,NonProj,0.01,block1,5,23,3
4,6532,veggie,NomApp,NomApp,B,0.98,block1,6,23,4
4,6219,kids,only,only,C,0.01,block1,7,23,5
4,6643,pizza,annoyed,annoyed,C,1,block1,8,23,6
4,8073,aunt,NRRC,NRRC,B,1,block1,9,23,7
4,4339,alcatraz,MC6,MC,NonProj,0.01,block1,10,23,8
4,9398,nails,stupid,stupid,C,0.99,block1,11,23,9
4,5693,muffins,MC5,MC,NonProj,0.01,block1,12,23,10
4,5484,bmw,possNP,possNP,B,0.98,block1,13,23,11
4,7623,ballet,stop,stop,C,0.99,block1,14,23,12
4,8029,cupcakes,know,know,C,0.99,block1,15,23,13
4,4850,hat,MC1,MC,NonProj,0,block1,16,23,14
4,3696,cheat,MC2,MC,NonProj,0.02,block1,17,23,15
5,12007,soccer,discover,discover,C,0.11,block1,3,55,1
5,4486,kids,MC1,MC,NonProj,0.18,block1,4,55,2
5,10606,nails,MC2,MC,NonProj,0.14,block1,5,55,3
5,5017,pizza,only,only,C,0.17,block1,6,55,4
5,3584,stuntman,NomApp,NomApp,B,0.18,block1,7,55,5
5,4096,play,stop,stop,C,0.13,block1,8,55,6
5,7283,cupcakes,MC6,MC,NonProj,0.09,block1,9,55,7
5,3508,bmw,possNP,possNP,B,0.07,block1,10,55,8
5,5142,alcatraz,MC3,MC,NonProj,0.13,block1,11,55,9
5,2954,boyfriend,MC4,MC,NonProj,0.16,block1,12,55,10
5,3492,ballet,MC5,MC,NonProj,0.14,block1,13,55,11
5,4556,olives,annoyed,annoyed,C,0.22,block1,14,55,12
5,7128,muffins,NRRC,NRRC,B,0.17,block1,15,55,13
5,1640,cheat,stupid,stupid,C,0.16,block1,16,55,14
5,3191,aunt,know,know,C,0.2,block1,17,55,15
6,12447,kids,MC6,MC,NonProj,0.03,block1,3,33,1
6,6562,stuntman,NomApp,NomApp,B,0.73,block1,4,33,2
6,5688,nails,MC2,MC,NonProj,0.01,block1,5,33,3
6,9161,muffins,NRRC,NRRC,B,0.77,block1,6,33,4
6,6599,aunt,possNP,possNP,B,0.82,block1,7,33,5
6,5831,bmw,annoyed,annoyed,C,0.89,block1,8,33,6
6,5757,alcatraz,MC3,MC,NonProj,0.02,block1,9,33,7
6,4994,hat,know,know,C,0.85,block1,10,33,8
6,8079,play,discover,discover,C,0.69,block1,11,33,9
6,5111,cupcakes,MC5,MC,NonProj,0.02,block1,12,33,10
6,5688,ballet,stop,stop,C,0.85,block1,13,33,11
6,6487,cheat,stupid,stupid,C,0.83,block1,14,33,12
6,7103,pizza,only,only,C,0.84,block1,15,33,13
6,5104,soccer,MC4,MC,NonProj,0,block1,16,33,14
6,5758,boyfriend,MC1,MC,NonProj,0.02,block1,17,33,15
7,10439,olives,annoyed,annoyed,C,0.97,block1,3,35,1
7,9256,play,discover,discover,C,0.99,block1,4,35,2
7,13794,cupcakes,NRRC,NRRC,B,0.97,block1,5,35,3
7,7451,stuntman,NomApp,NomApp,B,0.97,block1,6,35,4
7,6742,alcatraz,know,know,C,0.98,block1,7,35,5
7,5195,boyfriend,possNP,possNP,B,0.97,block1,8,35,6
7,13280,nails,MC6,MC,NonProj,0.04,block1,9,35,7
7,7522,cheat,stupid,stupid,C,0.97,block1,10,35,8
7,6585,hat,MC3,MC,NonProj,0.02,block1,11,35,9
7,6261,veggie,MC1,MC,NonProj,0.04,block1,12,35,10
7,7123,soccer,MC2,MC,NonProj,0.02,block1,13,35,11
7,10507,ballet,stop,stop,C,0.7,block1,14,35,12
7,15432,pizza,only,only,C,0.8,block1,15,35,13
7,8513,bmw,MC5,MC,NonProj,0,block1,16,35,14
7,9344,kids,MC4,MC,NonProj,0.02,block1,17,35,15
8,15977,boyfriend,NRRC,NRRC,B,0.99,block1,3,36,1
8,5496,cheat,MC5,MC,NonProj,0.05,block1,4,36,2
8,8104,kids,only,only,C,0.05,block1,5,36,3
8,12183,alcatraz,discover,discover,C,0.98,block1,6,36,4
8,4390,ballet,MC6,MC,NonProj,0.03,block1,7,36,5
8,6245,bmw,NomApp,NomApp,B,0.95,block1,8,36,6
8,13676,nails,stupid,stupid,C,0.04,block1,9,36,7
8,6503,play,stop,stop,C,0.98,block1,10,36,8
8,4856,veggie,MC2,MC,NonProj,0.03,block1,11,36,9
8,5824,soccer,MC4,MC,NonProj,0.05,block1,12,36,10
8,5263,olives,annoyed,annoyed,C,0.98,block1,13,36,11
8,37250,muffins,MC1,MC,NonProj,0.01,block1,14,36,12
8,10045,aunt,possNP,possNP,B,0.96,block1,15,36,13
8,8397,cupcakes,know,know,C,0.0600000000000001,block1,16,36,14
8,4509,hat,MC3,MC,NonProj,0.01,block1,17,36,15
9,14613,pizza,MC2,MC,NonProj,0,block1,3,25,1
9,5761,muffins,MC5,MC,NonProj,0,block1,4,25,2
9,13612,bmw,NomApp,NomApp,B,1,block1,5,25,3
9,10128,hat,annoyed,annoyed,C,0.83,block1,6,25,4
9,5546,cupcakes,MC3,MC,NonProj,0,block1,7,25,5
9,3971,cheat,MC4,MC,NonProj,0,block1,8,25,6
9,16182,ballet,stop,stop,C,0.83,block1,9,25,7
9,11916,stuntman,stupid,stupid,C,1,block1,10,25,8
9,10427,soccer,know,know,C,0.87,block1,11,25,9
9,11035,veggie,NRRC,NRRC,B,0.83,block1,12,25,10
9,11396,kids,only,only,C,0.75,block1,13,25,11
9,4516,aunt,MC1,MC,NonProj,0,block1,14,25,12
9,5402,boyfriend,possNP,possNP,B,1,block1,15,25,13
9,5477,alcatraz,MC6,MC,NonProj,0,block1,16,25,14
9,11586,nails,discover,discover,C,0.86,block1,17,25,15
10,12910,aunt,possNP,possNP,B,0.87,block1,3,35,1
10,6670,olives,MC6,MC,NonProj,0.01,block1,4,35,2
10,16434,soccer,annoyed,annoyed,C,0.51,block1,5,35,3
10,8577,play,stop,stop,C,0.81,block1,6,35,4
10,12384,nails,stupid,stupid,C,0.34,block1,7,35,5
10,19484,veggie,NRRC,NRRC,B,0.87,block1,8,35,6
10,9195,pizza,discover,discover,C,0.37,block1,9,35,7
10,8414,kids,MC3,MC,NonProj,0,block1,10,35,8
10,7336,cupcakes,MC4,MC,NonProj,0,block1,11,35,9
10,7477,bmw,NomApp,NomApp,B,0.6,block1,12,35,10
10,14334,hat,MC5,MC,NonProj,0,block1,13,35,11
10,6250,muffins,only,only,C,0,block1,14,35,12
